container,method,rate,mean_r_m,mean_s_m,mean_r_neg_m,mean_s_neg_m,gap_m,gap_neg_m,gap_ratio,r_difference,s_difference,r_gap_m,g_gap_m,b_gap_m,r_gap_neg_m,g_gap_neg_m,b_gap_neg_m
graphics,adaptive,15,0.6649624136991279,0.3350375863008721,0.7071807624757751,0.29091595001614984,0.32992482739825585,0.4162648124596253,0.7925839934651122,-0.04221834877664721,0.044121636284722265,0.3080638323643411,0.3803181019864341,0.3013925478439923,0.4315166621245155,0.38223242944525193,0.43504534580910853
graphics,sequential,35,0.6151744438388244,0.38482555616117575,0.7354764716569768,0.26168720728359174,0.23034888767764858,0.47378926437338503,0.48618427009379145,-0.12030202781815247,0.12313834887758401,0.21374606346899225,0.2705948703972868,0.20670572916666666,0.4868533112281977,0.44562004148498063,0.48889444040697677
graphics,random,35,0.6058583025476421,0.3941416974523579,0.7372974326752262,0.2598362806847545,0.21171660509528425,0.4774611519904716,0.4434216359020332,-0.13143913012758413,0.13430541676760338,0.1980945675872093,0.24787275920542637,0.18918248849321706,0.48972338299418605,0.44996725866036824,0.49269281431686046
graphics,adaptive,35,0.6290504002139858,0.37094959978601416,0.7322729933785529,0.2658035317748708,0.2581008004279716,0.4664694616036822,0.5533069614903473,-0.10322259316456706,0.10514606801114335,0.24264739280523256,0.29400587451550386,0.2376491339631783,0.47755325672238375,0.4423023785731589,0.47955274951550386
graphics,sequential,60,0.5675055136668282,0.43249448633317183,0.7631088375121124,0.23434188014777133,0.13501102733365633,0.5287669573643411,0.25533181575230024,-0.19560332384528423,0.1981526061854005,0.11719128512596899,0.1755787457606589,0.11226305111434108,0.5423214934593024,0.5006936243338178,0.5432857542999031
graphics,random,60,0.5600794119428295,0.43992058805717055,0.765552767179425,0.23192003038194442,0.1201588238856589,0.5336327367974807,0.22517138773527018,-0.2054733552365955,0.20800055767522613,0.11363326671511628,0.14002316497093023,0.10682003997093023,0.5431835558987403,0.5146541151889535,0.5430605393047481
graphics,adaptive,60,0.5811647715802649,0.41883522841973514,0.7639914027172158,0.23404253976905687,0.16232954316052972,0.5299488629481589,0.3063117113931977,-0.18282663113695086,0.18479268865067827,0.15240431201550386,0.18194722020348839,0.1526370972625969,0.5388789213905039,0.5127218083817829,0.5382458590721899
graphics,sequential,85,0.524776172884367,0.47522382711563305,0.7911367490310077,0.206748942688146,0.04955234576873385,0.5843878063428618,0.08479359978237014,-0.26636057614664077,0.268474884427487,0.03925175629844961,0.07195713723352713,0.037448143774224806,0.5940925539001938,0.5666361964026163,0.5924346687257752
graphics,random,85,0.5204986651122415,0.47950133488775837,0.7929006177325583,0.20494501473675708,0.04099733022448321,0.587955602995801,0.06972861558864335,-0.27240195262031675,0.2745563201510013,0.038118111070736434,0.04900034823158915,0.035873531371124034,0.5943821160368217,0.5773679748062015,0.5921167181443798
graphics,adaptive,85,0.5301791247779393,0.46982087522206073,0.7947089616642442,0.20331520257994184,0.06035824955587855,0.5913937590843023,0.10206101878608863,-0.26452983688630494,0.2665056726421189,0.06226153706395349,0.06044467659883721,0.058368535004844964,0.5955195463905039,0.5850612433381783,0.5936004875242248
