container,method,rate,rs_r_m,rs_s_m,rs_r_neg_m,rs_s_neg_m,rs_gap_m,rs_gap_neg_m,rs_gap_ratio,rs_r_gap,rs_g_gap,rs_b_gap,lsb_one_ratio,lsb_entropy,chi_square_normalized,spatial_agreement,r_chi_square_normalized,g_chi_square_normalized,b_chi_square_normalized,r_lsb_one_ratio,g_lsb_one_ratio,b_lsb_one_ratio
texture_nature,adaptive,15,0.5636301755289083,0.4363698244710917,0.5586221384447674,0.4285185269299096,0.12726035105781652,0.1301036115148579,0.9781461834615047,0.12502838844476744,0.1253860828488372,0.13136658187984496,0.49342996759932173,0.9998754476128418,249.29666592455158,0.5035696467437308,5.732104079408451,5.188397771292426,265.3402344587171,0.4989978878997093,0.49815356823825097,0.4831384466600048
texture_nature,sequential,35,0.536327115633075,0.46367288436692505,0.5835509780765504,0.4030651319242571,0.07265423126614988,0.18048584615229327,0.40254808238450185,0.06881169755329457,0.07169217841569768,0.07745881782945736,0.49338099753209785,0.9998735839238697,339.0074351214853,0.503635470401209,11.407903671657166,4.957732788683051,361.2526138052276,0.4995959378028101,0.49844833492308627,0.48209871987039726
texture_nature,random,35,0.5412685975855943,0.45873140241440574,0.5783432755975452,0.41020577206476094,0.08253719517118863,0.16813750353278423,0.4908910471309284,0.08306837451550388,0.08273149830426356,0.08181171269379844,0.4952334224099645,0.9999344421885805,147.65279426637952,0.5015800655781969,5.614353264350642,2.7427891433852363,158.6822279272895,0.4996401764625727,0.4987341119337452,0.4873259788335756
texture_nature,adaptive,35,0.5572096556040051,0.44279034439599485,0.5654028761910529,0.42288815205103364,0.11441931120801034,0.1425147241400194,0.8028595774819339,0.11405909338662791,0.11253747274709303,0.11666136749031007,0.49469380538901003,0.9999187582938838,127.37690616675174,0.502726004531871,5.620780800226857,4.664779613305557,128.81332436832938,0.4985271128573159,0.4981062541636386,0.4874480491460756
texture_nature,sequential,60,0.5246553642805232,0.47534463571947666,0.5955791621245156,0.3932193884245801,0.04931072856104651,0.2023597736999354,0.24367851208494534,0.04808813287306202,0.04900791848352713,0.05083613432655039,0.49584188140948,0.999950111174082,121.8963478392856,0.5022811564685848,5.087571445862682,2.1880411077876243,129.3964748913806,0.49951195532037307,0.4990752464117006,0.48893844249636625
texture_nature,random,60,0.5245011203972868,0.47549887960271314,0.5938645000605621,0.3960617026001292,0.04900224079457365,0.19780279746043283,0.24773279965555461,0.048826232437015504,0.051350911458333336,0.046829578488372096,0.49702015958091084,0.9999743791744781,58.87640552659937,0.5006336820655001,2.7794344959434794,1.782977597714592,62.57240541388292,0.49966383349987886,0.4993946164153343,0.49200202882751937
texture_nature,adaptive,60,0.5428873697916666,0.4571126302083333,0.5797671138162145,0.4098102264010013,0.08577473958333333,0.16995688741521317,0.5046852815901561,0.08651662427325581,0.08496661518895349,0.08584097928779069,0.4964173782703488,0.9999629651864774,46.97221139314701,0.5017261179462694,5.985484123311097,4.828266271596232,40.178143437654825,0.49842562416727226,0.49848500333091084,0.49234150731286336
texture_nature,sequential,85,0.5146203644823967,0.4853796355176034,0.6058251826954134,0.38582924539728686,0.02924072896479328,0.2199959372981266,0.1329148589010888,0.028138626453488372,0.02850956879844961,0.03107399164244186,0.49928571518693476,0.9999985278654173,1.6060232810065727,0.5004424587584193,0.9207364272996823,1.2202283767619624,1.7844633303081667,0.4996569729590601,0.49963047707727715,0.49856969552446706
texture_nature,random,85,0.5088748586886305,0.49112514131136953,0.6097762233527132,0.3814388147004199,0.01774971737726098,0.22833740865229327,0.07773460109766694,0.019035398498062017,0.017517562984496124,0.016696190649224806,0.49873624106710274,0.9999953917771414,9.194216647689894,0.5001801215526965,1.3178834921609577,1.1320479728407178,9.525530048975197,0.4997028676114341,0.4995339563650678,0.4969718992248062
texture_nature,adaptive,85,0.5195766715116279,0.4804233284883721,0.6013991087290051,0.3888687015503876,0.039153343023255814,0.21253040717861757,0.18422466480455219,0.04034565770348837,0.038008342417635656,0.03910602894864341,0.49757862337491926,0.999983082704966,21.133187737749466,0.5011209476940895,6.46371976993114,5.2108545600453455,13.708974910827823,0.4984426572341327,0.49833194229953975,0.49596127059108525
photo_mixed,sequential,15,0.5685590403948644,0.4314409596051357,0.5976433174862726,0.39654462158833975,0.13711808078972867,0.20109869589793283,0.6818447040517986,0.13175644985465115,0.13437007933624032,0.14522771317829458,0.49617631306019866,0.9999578135070455,108.44602043780651,0.5025361006263168,38.09197762215389,61.67224415714035,70.60902049019819,0.49745473935622575,0.49391162487887597,0.4971625749454942
photo_mixed,random,15,0.572612910307655,0.427387089692345,0.5941070635497415,0.4004051346495478,0.14522582061531006,0.1937019289001938,0.7497386393614006,0.1409069918846899,0.14239833151647288,0.15237213844476744,0.4974716147095042,0.9999815543953682,87.17841172105429,0.5020793692205617,30.256596517113394,51.25464124370619,74.72424943404191,0.4976215214692345,0.49647817685622575,0.4983151458030523
photo_mixed,adaptive,15,0.5831825591489018,0.4168174408510981,0.5862854161619832,0.4082993302850452,0.16636511829780362,0.17798608587693798,0.9347085615042444,0.16163812681686046,0.16368966509205427,0.17376756298449614,0.4971877302618298,0.9999771797303584,110.21808738606053,0.5027071902144179,36.905223885656596,61.89886233705853,96.02733895898731,0.49681576277858525,0.49645475638929265,0.4982926716176114
photo_mixed,sequential,35,0.5549089298691859,0.44509107013081395,0.6096377508276809,0.38464733981346894,0.10981785973837209,0.22499041101421188,0.4881001783290901,0.10531545239825581,0.10772089995155039,0.11641722686531007,0.49606039357739823,0.9999552168434211,73.15026098473746,0.5022160487409877,30.026046645086602,50.647285258813696,36.13624080099783,0.4978100680565649,0.49346072174781974,0.4969103909278101
photo_mixed,random,35,0.5543332752947351,0.44566672470526486,0.609344718992248,0.3855929904513889,0.10866655058947028,0.22375172854085915,0.4856568094383537,0.10473065043604651,0.10641503149224807,0.11485396984011628,0.49831065096596416,0.9999917653691202,51.37347716161219,0.5011564251224371,17.594378049210228,29.832060574758124,43.312166530712325,0.4981315671935562,0.49768468575884206,0.4991156999454942
